biased_sent,debiased_sent,model_output
"Lack of empirical data on Latinos is partially due to prisons ' failures to document race at intake , or recording practices that historically have classified Latinos as white .","Lack of empirical data on Latinos is partially due to prisons ' failures to document ethnic details at intake , or recording practices that historically have classified Latinos as white .","Lack of empirical data on Latinos is partially due to prisons ' failures to document race at intake , or recording practices that historically have classified Latinos as white ."
Time Cube is a website which supports Time Cube as a theory of everything .,"Time Cube is a philosophical/scientific theory , and also a website which supports that theory as a theory of everything .",Time Cube is a website which supports Time Cube as a theory of everything .
"The Thenkalai Iyengar sect which was led by Manavala Mamuni , follow the Tamil Prabhandams and reject caste system as irrelevant for a spiritual seeker .","The Thenkalai Iyengar sect which was led by Manavala Mamuni , follow the Tamil Prabhandams and reject the caste system .","The Thenkalai Iyengar sect which was led by Manavala Mamuni , follow the Tamil Prabhandams and reject caste system as irrelevant for a spiritual seeker ."
"However , they believed that further expansion of Haneda would be impractical due to the cost and technical issues inherent in a large-scale landfill project in Tokyo Bay .",The government believed that further expansion of Haneda would be impractical due to the cost and technical issues inherent in a large-scale landfill project in Tokyo Bay .,"However , they believed that further expansion of Haneda would be impractical due to the cost and technical issues inherent in a large-scale landfill project in Tokyo Bay ."
"Even when the operation appears to have been successful , cancerous cells are often found at the edges of the tissue removed when examined microscopically by a pathologist ( this will always be done ) , indicating the cancer has not been entirely removed , and will continue to develop .","Even when the operation appears to have been successful , cancerous cells are often found at the edges of the tissue removed when examined microscopically by a pathologist ( this will always be done ) , indicating the cancer has not been entirely removed , or there may be spread of stem cells , which are usually not evident microscopically and which may continue to develop .","Even when the operation appears to have been successful , cancerous cells are often found at the edges of the tissue removed when examined microscopically by a pathologist ( this will always be done ) , indicating the cancer has not been entirely removed , and will continue to develop ."
"As a dramatic ( and , pre-rehearsed ) end to the duet -- on live television -- Timberlake ripped away part of the bustier of Janet Jackson 's costume , exposing her right breast .","As a dramatic end to the duet -- on live television -- Timberlake ripped away part of the bustier of Janet Jackson 's costume , exposing her right breast .","As a dramatic ( and , pre-rehearsed ) end to the duet -- on live television -- Timberlake ripped away part of the bustier of Janet Jackson 's costume , exposing her right breast ."
"The Haditha killings ( also called the Haditha massacre ) refers to the incident where up to 24 Iraqi noncombatant civilians were allegedly massacred by a group of United States Marines on November 19 2005 in Haditha , a city in the western Iraqi province of Al Anbar .","The Haditha killings ( also called the Haditha massacre ) refers to the incident where up to 24 Iraqi noncombatant civilians were allegedly neutralized by a group of United States Marines on November 19 2005 in Haditha , a city in the western Iraqi province of Al Anbar .","The Haditha killings ( also called the Haditha massacre ) refers to the incident where up to 24 Iraqi noncombatant civilians were allegedly massacred by a group of United States Marines on November 19 2005 in Haditha , a city in the western Iraqi province of Al Anbar ."
He was a High-class merchant and is believed to be a ruthless man and emotional polytheist who often treated Umar badly .,He was a merchant and is believed to be a ruthless man and emotional polytheist who often treated Umar badly .,He was a High-class merchant and is believed to be a ruthless man and emotional polytheist who often treated Umar badly .
The business currently operates the largest and most comprehensive call-to-listen platform in the world .,The business currently operates a call-to-listen platform .,The business currently operates the largest and most comprehensive call-to-listen platform in the world .
"Betrayed by the Austrians , the old field marshal , seeking to make his way over the Swiss passes to the Upper Rhine , had to retreat to Vorarlberg , where the army , much shattered and almost destitute of horses and artillery , went into winter quarters .","The old field marshal , seeking to make his way over the Swiss passes to the Upper Rhine , had to retreat to Vorarlberg , where the army , much shattered and almost destitute of horses and artillery , went into winter quarters .","Betrayed by the Austrians , the old field marshal , seeking to make his way over the Swiss passes to the Upper Rhine , had to retreat to Vorarlberg , where the army , much shattered and almost destitute of horses and artillery , went into winter quarters ."
"The Orontid Dynasty ( ( Yervandunineri harstutyun ) , or , known by their native name , Yervanduni ) was the first known Armenian dynasty and the successor state to the Kingdom of Ararat .","The Orontid Dynasty ( ( Yervandunineri harstutyun ) , or , known by their native name , Yervanduni ) was the first known Armenian dynasty and the successor state to the Iron Age kingdom of Urartu .","The Orontid Dynasty ( ( Yervandunineri harstutyun ) , or , known by their native name , Yervanduni ) was the first known Armenian dynasty and the successor state to the Kingdom of Ararat ."
"4A Games also made clear that the game will not ship with online mode , since the team is uniquely focused on giving an amazing single player mode .","4A Games also made clear that the game will not ship with online mode , since the team is focused on producing the single player mode .","4A Games also made clear that the game will not ship with online mode , since the team is focused on giving an amazing single player mode ."
"A few modern liberal scholars suggests that John the Apostle , John the Evangelist , and John of Patmos refer to three separate individuals .","Modern scholarship suggests that John the Apostle , John the Evangelist , and John of Patmos refer to three separate individuals .","Some modern liberal scholars suggests that John the Apostle , John the Evangelist , and John of Patmos refer to three separate individuals ."
"Today , Gary faces numerous difficulties , including its rotton-egg odor , unemployment , major economic problems , and a high rate of crime , though the city has made some progress in addressing these issues since the 1990s .","Today , Gary faces numerous difficulties , including unemployment , major economic problems , and a high rate of crime , though the city has made some progress in addressing these issues since the 1990s .","Today , Gary faces numerous difficulties , including its rotton-egg odor , unemployment , major economic problems , and a high rate of crime , though the city has made some progress in addressing these issues since the 1990s ."
"The area has many golf courses , parks and casinos and is not far from the entertainment available in Las Vegas .","The area has a number of golf courses , parks and casinos , and is not far from Las Vegas .","The area has many golf courses , parks and casinos and is not far from the entertainment available in Las Vegas ."
"So-called "" Survivalists "" often prepare for this anticipated disruption by learning skills ( e.g. , emergency medical training ) , stockpiling food and water , preparing for self-defense , and/or building structures that will help them to survive or "" disappear "" ( e.g. , a survival retreat or underground shelter ) .","Survivalists often prepare for this anticipated disruption by learning skills ( e.g. , emergency medical training ) , stockpiling food and water , preparing for self-defense , and/or building structures that will help them to survive or "" disappear "" ( e.g. , a survival retreat or underground shelter ) .","So-called "" Survivalists "" often prepare for this anticipated disruption by learning skills ( e.g. , emergency medical training ) , stockpiling food and water , preparing for self-defense , and/or building structures that will help them to survive or "" disappear "" ( e.g. , a survival retreat or underground shelter ) ."
"Most of the population is Criollo ( people from direct Euro-Spanish origin ) , and Mestizo ( mixed Native American and Spaniards ) .","Most of the population is Criollo ( people from direct Euro-Spanish origin ) , and Mestizo ( mixed Amerindian and Spaniards ) .","Most of the population is Criollo ( people from direct Euro-Spanish origin ) , and Mestizo ( mixed Native American and Spaniards ) ."
The film comedienne Truus van Aalten died in Warmond in 1999 .,The film comedian Truus van Aalten died in Warmond in 1999 .,The film comedienne Truus van Aalten died in Warmond in 1999 .
"In 1969 , a relatively unsuccessful musical film version appeared , starring Peter OToole and Petula Clark , with songs by Leslie Bricusse and an underscore by John Williams .","In 1969 , a musical film version appeared , starring Peter OToole and Petula Clark , with songs by Leslie Bricusse and an underscore by John Williams .","In 1969 , a musical film version appeared , starring Peter OToole and Petula Clark , with songs by Leslie Bricusse and an underscore by John Williams ."
"Wahhabis do not follow any specific maddhab ( methods & school of jurisprudence ) , but mostly interpret the words of Prophet Muhammad directly and at face value , using the four main schools of thought for reference .","Wahhabis do not follow any specific maddhab ( methods & school of jurisprudence ) , but mostly interpret the words of the Islamic prophet Muhammad directly and at face value , using the four main schools of thought for reference .","Wahhabis do not follow any specific maddhab ( methods & school of jurisprudence ) , but mostly interpret the words of Prophet Muhammad directly and at face value , using the four main schools of thought for reference ."
"Green Jell ( pronounced "" green jello "" ) is a Grammy-nominated American comedy rock band formed in 1981 .","Green Jell ( pronounced "" green jello "" ) is an American comedy rock band formed in 1981 .","Green Jell ( pronounced "" green jello "" ) is an American comedy rock band formed in 1981 ."
"Aubrey David Nicholas Jasper de Grey , Ph.D. , ( born 20 April 1963 in London , England ) is a controversial biomedical gerontologist who lives in the city of Cambridge , UK .","Aubrey David Nicholas Jasper de Grey , Ph.D. , ( born 20 April 1963 in London , England ) is a biomedical gerontologist who lives in the city of Cambridge , UK .","Aubrey David Nicholas Jasper de Grey , Ph.D. , ( born 20 April 1963 in London , England ) is a biomedical gerontologist who lives in the city of Cambridge , UK ."
"Syrian government fighters remove the last rebels from Douma , completing the regime 's recapture of former rebel stronghold Eastern Ghouta .","Syrian government fighters remove the last rebels from Douma , completing the Syrian government 's recapture of former rebel stronghold Eastern Ghouta .","Syrian government fighters remove the last rebels from Douma , completing the regime 's recapture of former rebel stronghold Eastern Ghouta ."
"Plasma cosmology exploits this correspondence to claim that rather than the CMB driving universal nucleosynthesis , stellar nucleosynthesis of helium coule have released the required CMB energy from the stars in the early stages of the plasma cosmology 's version of formation of galaxies .","Plasma cosmology advocates claim that this correspondence , rather than being due to energetic photons driving universal nucleosynthesis , is explained by the stellar nucleosynthesis of helium releasing the required CMB energy from the stars in the early stages of the plasma cosmology 's version of formation of galaxies .","Plasma cosmology exploits this correspondence to claim that rather than the CMB driving universal nucleosynthesis , stellar nucleosynthesis of helium coule have released the required CMB energy from the stars in the early stages of the plasma cosmology 's version of formation of galaxies ."
"On September 24 1939 , warships of the Red Navy appeared off Estonian ports and Soviet bombers began a threatening patrol over Tallinn and the nearby countryside .","On September 24 1939 , warships of the Red Navy appeared off Estonian ports and Soviet bombers began to patrol over Tallinn and the nearby countryside .","On September 24 1939 , warships of the Red Navy appeared off Estonian ports and Soviet bombers began a patrol over Tallinn and the nearby countr You are provided with a linguistically biased sentence from a wikipedia article. Linguistic bias refers to the use of words, phrases, or structures that carry a subjective tone. Such biases can influence the reader's perception, making the text less neutral. Your task is to rephrase the given sentence to remove or neutralize the bias in such a way that most of its original meaning, content and structure is retained."
The horns and tattoos of Darth Maul drew upon depictions of the Devil in Christian mythology .,The horns and tattoos of Darth Maul drew upon depictions of the Devil of Judeo- Christian theology .,The horns and tattoos of Darth Maul drew upon depictions of the Devil in Christian mythology .
"He continued with the use of the biomimicry strategy , enlisting another natural pathwaythe cell survival pathway .","Ding 's team continued to use the biomimicry strategy , enlisting another natural pathwaythe cell survival pathway .","He continued with the use of the biomimicry strategy , enlisting another natural pathwaythe cell survival pathway ."
Speculator George Soros infamously made approximately US $ 1 billion from shorting the pound .,Speculator George Soros made approximately US $ 1 billion from shorting the pound .,Speculator George Soros made approximately US $ 1 billion from shorting the pound .
"Bone Thugs-n-Harmony is a Grammy Award-winning American gangsta rap group from Cleveland , Ohio , best known for its fast rapping style and harmonizing vocals .","Bone Thugs-n-Harmony is a American gangsta rap group from Cleveland , Ohio , best known for its fast rapping style and harmonizing vocals .","Bone Thugs-n-Harmony is an American gangsta rap group from Cleveland , Ohio , best known for its fast rapping style and harmonizing vocals ."
"The driving force behind the restoration of His Church , the Latter Day Saint movement was Jesus Christ , through his prophet Joseph Smith , Jr. , and to a lesser extent , during the movement 's first two years , Oliver Cowdery .","The driving force behind and founder of the Latter Day Saint movement was Joseph Smith , Jr. , and to a lesser extent , during the movement 's first two years , Oliver Cowdery .","The driving force behind the restoration of His Church , the Latter Day Saint movement was Jesus Christ , through his prophet Joseph Smith , Jr. , and to a lesser extent , during the movement 's first two years , Oliver Cowdery ."
"A speaker may alternatively say "" quote "" before and "" unquote "" after the words that he wishes to quote ironically , or say "" quote unquote "" before or after the quoted words or simply pause before and emphasize the parts in quotes .","A speaker may alternatively say "" quote "" before and "" unquote "" after the words that he or she wishes to quote ironically , or say "" quote unquote "" before or after the quoted words or simply pause before and emphasize the parts in quotes .","A speaker may alternatively say "" quote "" before and "" unquote "" after the words that he wishes to quote , or say "" quote unquote "" before or after the quoted words or simply pause before and emphasize the parts in quotes ."
"Acid Bath was a seminal metal band from Louisiana , USA active from 1991 to 1997 .","Acid Bath was a heavy metal band from Louisiana , USA active from 1991 to 1997 .","Acid Bath was a metal band from Louisiana , USA active from 1991 to 1997 ."
He passed away while still in office in 1909 .,He died while still in office in 1909 .,He died while still in office in 1909 .
"The Haditha massacre is a massacre of civilians committed by United States Marines on November 19 , 2005 in the town of Haditha in Iraq .","The Haditha massacre is a massacre of civilians reportedly committed by United States Marines on November 19 , 2005 in the town of Haditha in Iraq .","The Haditha massacre is a massacre of civilians committed by United States Marines on November 19 , 2005 in the town of Haditha in Iraq ."
"He is a blogger at Bishop Hill where his layperson 's explanations of the Hockey Stick debate have won acclaim , specifically his summaries of posts from Climate Audit which he called "" Caspar And The Jesus Paper "" .","He is a blogger at Bishop Hill where his layperson 's explanations of the Hockey Stick debate have received favorable comment from readers and in The Spectator , specifically his summaries of posts from Climate Audit which he called "" Caspar And The Jesus Paper "" .","He is a blogger at Bishop Hill where his layperson 's explanations of the Hockey Stick debate have won acclaim , specifically his summaries of posts from Climate Audit ."
More than any other factor did they enable this sadistic tyrant to remain on Morocco 's throne for half a century .,More than any other factor did they enable the sultan to remain on Morocco 's throne for half a century .,More than any other factor did they enable this tyrant to remain on Morocco 's throne for half a century .
"Zebedee was among the volunteers who , in late June 1843 , rescued ( albeit temporarily ) the Prophet Joseph Smith from his brutal captors and from unlawful arrest ( to stand trial in Missouri ) .","Zebedee was among the volunteers who , in late June 1843 , rescued ( albeit temporarily ) the Prophet Joseph Smith from his captors and from arrest to stand trial in Missouri .","Zebedee was among the volunteers who , in late June 1843 , rescued ( albeit temporarily ) the Prophet Joseph Smith from his captors and from unlawful arrest ( to stand trial in Missouri ) ."
"When General Tire & Rubber Company sold the building to Helmsley-Spear , ( it 's actually Harry Helmsley 's company , not his wifes -- Leona ) renamed the building The Helmsley Building , which is its current name .","When General Tire & Rubber Company sold the building to Helmsley-Spear , Leona Helmsley renamed the building The Helmsley Building , which is its current name .","When General Tire & Rubber Company sold the building to Helmsley-Spear , ( it 's actually Harry Helmsley 's company , not his wifes -- Leona ) renamed the building The Helmsley Building , which is its current name ."
"Mozart begins to write the piece , the Requiem in D minor , unaware of the true identity of his mysterious patron and oblivious of his murderous intentions .","Mozart begins to write the piece , the Requiem in D minor , unaware of the mysterious patron 's true identity and of his murderous intentions .","Mozart begins to write the piece , the Requiem in D minor , unaware of the true identity of his mysterious patron and oblivious of his murderous intentions ."
"Despite this reputation as being a weakling compared to his Saiyan comrades , he is considered to be the strongest , non-mystical , pure- blooded human in the Dragon Ball series , being thousands of times stronger than the average person .","Despite this reputation as being a weakling compared to his Saiyan comrades , he is considered to be the stronger pure- bloodeds human in the Dragon Ball series , being thousands of times stronger than the average person .","Despite this reputation as being a weakling compared to his Saiyan comrades , he is considered to be the strongest , non-mystical , pure-blooded human in the Dragon Ball series , being thousands of times stronger than the average person ."
"Remarkably , only two people have so far announced the classified football results on the programme since its inception in 1958 - Len Martin until his death in 1995 and , since then , Tim Gudgin .","Only two people have so far announced the classified football results on the programme since its inception in 1958 - Len Martin until his death in 1995 and , since then , Tim Gudgin .","Remarkably , only two people have so far announced the classified football results on the programme since its inception in 1958 - Len Martin until his death in 1995 and , since then , Tim Gudgin ."
In Weikart 's book he claims :,In Weikart 's book he states :,In Weikart 's book he claims :
"A key goal of the system , which often separated children from their families and communities , has been described as cultural genocide or "" killing the Indian in the child "" .","A key goal of the system , which often separated children from their families and communities , has been described as cultural genocide or "" killing the Indian in the child "" or , conversely , integration of the Canadian nations .","A key goal of the system , which often separated children from their families and communities , has been described as cultural assimilation ."
"While Buddhism , Hinduism , are fastest growing religion in number of nations , Islam is found to be the fastest growing religion in the world .","While Buddhism , is fastest growing religion in Europe , Islam is found to be the fastest growing religion in the world .","While Buddhism , Hinduism , are fastest growing religion in number of nations , Islam is found to be the fastest growing religion in the world ."
"The superb organ , parts of which date from 1841 and earlier , is one of the finest instruments to be found in any English parish church ; in essence , it is a Harrison and Harrison of 1914 vintage , but incorporating significant amounts of pipework by the famous Edmund Schulze .","The organ , parts of which date from 1841 and earlier , is essentially a Harrison and Harrison of 1914 vintage , but incorporating significant amounts of pipework by Edmund Schulze .","The organ , parts of which date from 1841 and earlier , is one of the finest instruments to be found in any English parish church ; in essence , it is a Harrison and Harrison of 1914 vintage , but incorporating significant amounts of pipework by the famous Edmund Schulze ."
"Michele began dating Marcus Bachmann in 1976 while they were both working for the presidential candidacy of Democrat Jimmy Carter ( who "" in the 1976 campaign made much of being a born-again Christian "" ) .",Michele began dating Marcus Bachmann in 1976 while they were both working for the presidential candidacy of Democrat Jimmy Carter .,"Michele began dating Marcus Bachmann in 1976 while they were both working for the presidential candidacy of Democrat Jimmy Carter ( who "" in the 1976 campaign made much of being a born-again Christian "" ) ."
"In mid-2005 , she played Debbie , the daughter of Richard and Susan Jones ( played by Brad Pitt and Cate Blanchett ) in the Academy Award-winning film Babel .","In mid-2005 , she played Debbie , the daughter of Richard and Susan Jones ( played by Brad Pitt and Cate Blanchett ) in the film Babel .","In mid-2005 , she played Debbie , the daughter of Richard and Susan Jones ( played by Brad Pitt and Cate Blanchett ) in the film Babel ."
A final consideration and a very important one at that is the potential for oversubscription .,A final consideration is the potential for oversubscription .,A final consideration and a very important one at that is the potential for oversubscription .
"They give children a positive attitude towards learning , and self-motivation .","They are intended to give children a positive attitude towards learning , and self-motivation .","They give children a positive attitude towards learning , and self-motivation ."
"He is now a lawyer , journalist , activist and defender of freedom of expression in his country .","He is now a lawyer , journalist , activist , participant in Ecuador political crisis .","He is now a lawyer , journalist , activist and defender of freedom of expression in his country ."
in the charge-sheet filed by Mumbai police it was confirmed that Jignesh Shah knew about the scam and was actually the mastermind of it .,in the charge-sheet filed by Mumbai police it was alleged that Jignesh Shah knew about the scam .,in the charge-sheet filed by Mumbai police it was confirmed that Jignesh Shah knew about the scam and was actually the mastermind of it .
"They argued that science can only address questions that can be determined by a well-defined , finite procedure , and there is no known way to define or construct a well-defined , finite procedure that can answer this question .","They argued that science can only address questions that can be determined by a well-defined , finite procedure , and claimed that there is no known way to define or construct a well-defined , finite procedure that can answer this question .","They argued that science can only address questions that can be determined by a well-defined , finite procedure , and there is no known way to define or construct a well-defined , finite procedure that can answer this question ."
"Prabir Ghosh , the legendary West Bengal rationalist and his $ 50 ,000 challenge against Godmen and astrologers","Prabir Ghosh , West Bengal rationalist and his $ 45 ,000 challenge against Godmen and astrologers","Prabir Ghosh , the legendary West Bengal rationalist and his $ 50 ,000 challenge against Godmen and astrologers"
"There are assaults on the media , the political opposition , civil society activists , and human rights defenders .","There are alleged assaults on the media , the political opposition , civil society activists , and human rights defenders .","There are assaults on the media , the political opposition , civil society activists , and human rights defenders ."
"Some worshipers like the feeling of hundreds and in some , thousands of people worshiping and feeling the presence of The Lord at the same time .","Some worshipers like the feeling of hundreds and in some , thousands of people worshiping together .","Some worshipers like the feeling of hundreds and in some , thousands of people worshiping at the same time ."
"Richard himself is reportedly upset by such accusations ( rightfully so ) , asserting that he has passed numerous age and drug tests with clean results .","Richard himself is reportedly upset by such accusations , asserting that he has passed numerous age and drug tests with clean results .","Richard himself is reportedly upset by such accusations ( rightfully so ) , asserting that he has passed numerous age and drug tests with clean results ."
"On the other hand some radical religious groups claim that although Gulen is identified as a Muslim leader , his methods are contrary to Islam .","Some radical religious groups claim that although Gulen is identified as a Muslim leader , his methods are contrary to Islam .","On the other hand some radical religious groups claim that although Gulen is identified as a Muslim leader , his methods are contrary to Islam ."
Several prominent personalities including former cricketer and legendary fast bowler and all-rounder Imran Khan and noted writer John Birmingham are of the opinion that Richards was the best ever batsman against genuine fast bowling .,Several prominent personalities including former cricketer Imran Khan and writer John Birmingham are of the opinion that Richards was the best ever batsman against genuine fast bowling .,Several prominent personalities including former cricketer and legendary fast bowler and all-rounder Imran Khan and noted writer John Birmingham are of the opinion that Richards was the best batsman against genuine fast bowling .
"Several of those who joined SBVT during the 2004 campaign were officers who had previously praised Kerry 's conduct during the Vietnam War , largely based on Kerry 's own reports .",Several of those who joined SBVT during the 2004 campaign were officers who had previously praised Kerry 's conduct during the Vietnam War .,"Several of those who joined SBVT during the 2004 campaign were officers who had previously praised Kerry 's conduct during the Vietnam War , largely based on Kerry 's own reports ."
"Authors such as Hannah Arendt , in her 1951 book The Origins of Totalitarianism , have said that the racist ideology ( popular racism ) which developed at the end of the 19th century helped legitimize the imperialist conquests of foreign territories and the crimes that accompanied them ( such as the Herero and Namaqua Genocide of 1904-1907 or the Armenian Genocide of 1915-1917 ) .","Authors such as Hannah Arendt , in her 1951 book The Origins of Totalitarianism , have said that the racist ideology ( popular racism ) which developed at the end of the 19th century helped legitimize the imperialist conquests of foreign territories and the acts that accompanied them ( such as the Herero and Namaqua Genocide of 1904-1907 or the Armenian Genocide of 1915-1917 ) .","Authors such as Hannah Arendt , in her 1951 book The Origins of Totalitarianism , have said that the racist ideology ( popular racism ) which developed at the end of the 19th century helped legitimize the imperialist conquests of foreign territories and the crimes that accompanied them ( such as the Herero and Namaqua Genocide of 1904-1907 or the Armenian Genocide of 1915-1917 ) ."
"At the same time , as part of its aim of avoiding confrontation with the United States , the PRC has attempted to portray itself as the advocate of peace and stability in the Taiwan straits and the ROC government under Chen Shui-bian as dangerously destablizing the region , and in contrast to practice in the 1990s , has attempted to gain the support of the United States in restricting Chen 's efforts to further Taiwan independence .","At the same time , as part of its aim of avoiding confrontation with the United States , the PRC has attempted to portray itself as the advocate of peace and stability in the Taiwan straits and the ROC government under Chen Shui-bian as dangerously destablizing the region , and in contrast to practice in the 1990s , has attempted to gain the support of the United States in restricting what it percieves as Chen 's efforts to further Taiwan independence .","At the same time , as part of its aim of avoiding confrontation with the United States , the PRC has attempted to portray itself as the advocate of peace and stability in the Taiwan straits and the ROC government under Chen Shui-bian as dangerously destablizing the region , and in contrast to practice in the 1990s , has attempted to gain the support of the United States in restricting Chen 's efforts to further Taiwan independence ."
"The Westin Book Cadillac Detroit is a luxurious historic skyscraper hotel located at 1114 Washington Boulevard in Downtown Detroit , Michigan , within the Washington Boulevard Historic District .","The Westin Book Cadillac Detroit is a historic skyscraper hotel located at 1114 Washington Boulevard in Downtown Detroit , Michigan , within the Washington Boulevard Historic District .","The Westin Book Cadillac Detroit is a historic skyscraper hotel located at 1114 Washington Boulevard in Downtown Detroit , Michigan , within the Washington Boulevard Historic District ."
Carter with co-authors John Mclean and Chris de Freitas submitted a response to this critique but claimed they were censored .,Carter with co-authors John Mclean and Chris de Freitas submitted a response to this comment but claimed they were censored .,Carter with co-authors John Mclean and Chris de Freitas submitted a response to this critique but claimed they were censored .
"Inaugurated in May 2005 , Al-Azhar Park is located adjactent to Cairo 's Darb al-Ahmar neighborhood .","Inaugurated in May 2005 , Al-Azhar Park is located adjacent to Cairo 's Darb al-Ahmar district .","Inaugurated in May 2005 , Al-Azhar Park is located adjactent to Cairo 's Darb al-Ahmar neighborhood ."
"This view is has been recently disputed by some who argue that most early Christian hymns did not have Psalms for texts , and that the Psalms were not sung in synagogues for centuries after the Destruction of the Second Temple in AD 70 .","This view is no longer generally accepted by scholars , due to analysis that shows that most early Christian hymns did not have Psalms for texts , and that the Psalms were not sung in synagogues for centuries after the Destruction of the Second Temple in AD 70 .","This view is has been recently disputed by some who argue that most early Christian hymns did not have Psalms for texts , and that the Psalms were not sung in synagogues for centuries after the Destruction of the Second Temple in AD 70 ."
"Clayfield is a prestigious inner-northern suburb of Brisbane , located approximately 5 km from the city 's CBD .","Clayfield is an inner-northern suburb of Brisbane , located approximately 5 km from the city 's CBD .","Clayfield is a suburb of Brisbane , located approximately 5 km from the city 's CBD ."
"The Tour Down Under is a cycling race held in picturesque Adelaide , South Australia , and the surrounding area .","The Tour Down Under is a cycling race held in Adelaide , South Australia , and the surrounding area .","The Tour Down Under is a cycling race held in Adelaide , South Australia , and the surrounding area ."
"Unlike in many other countries , citizens of the United States are not automatically eligible for voting , unless they registered at the county level .","In the United States , citizens are not automatically eligible for voting , unless they registered at the county level .","Unlike in many other countries , citizens of the United States are not automatically eligible for voting , unless they registered at the county level ."
"A Douglas DC-3 has been parked beneath the H-4 's wing , showing the sheer scale of the aircraft .","A Douglas DC-3 has been parked beneath the H-4 's wing , to show the scale of the H-4 .","A Douglas DC-3 has been parked beneath the H-4 's wing , showing the size of the aircraft ."
"On 16 May 1657 he was captured in the village of Peredil , Lithuania by the Cossacks of Chmielnicki , subjected to incredible slow and diabolical tortures ( amputated limbs , flayed skin , burn wounds , wood slivers driven underneath the fingernails , cut-off nose ) and killed ( in Janw Poleski ) .","On 16 May 1657 he was captured in the village of Peredil , Lithuania by the Cossacks of Chmielnicki and subjected to a variety of tortures ( amputated limbs , flayed skin , burn wounds , wood slivers driven underneath the fingernails , cut-off nose ) and killed ( in Janw Poleski ) .","On 16 May 1657 he was captured in the village of Peredil , Lithuania by the Cossacks of Chmielnicki , subjected to tortures ( amputated limbs , flayed skin , burn wounds , wood slivers driven underneath the fingernails , cut-off nose ) and killed ( in Janw Poleski ) ."
A legacy of significant increases in nationwide fuel consumption and auto emissions included nationwide increases of highway speed limits and wide-scale popularity of SUVs .,"Other issues included significant increases in nationwide fuel consumption and auto emissions , nationwide increases of highway speed limits , and wide-scale popularity of SUVs .",A legacy of significant increases in nationwide fuel consumption and auto emissions included nationwide increases of highway speed limits and wide-scale popularity of SUVs .
"Focus on the Family and Parents and Friends of Ex-Gays and Gays ( PFOX , a group that promotes conversion therapy ) have criticized ALA for not using the event to champion books they supported .","Focus on the Family and Parents and Friends of Ex-Gays and Gays ( PFOX , a group that promotes conversion therapy ) have criticized ALA for not using the event to champion ex-gay books or books opposing same-sex marriage .","Focus on the Family and Parents and Friends of Ex-Gays and Gays ( PFOX , a group that promotes conversion therapy ) have criticized ALA for not using the event to champion books they supported ."
"Wives , children and divorce","Spouses , children and divorce","Wives , children and divorce"
The detailed rules of how to do the pairing are usually quite complicated and often the tournament organizer has access to a computer to do the pairing for him .,The detailed rules of how to do the pairing are usually quite complicated and often the tournament organizer has access to a computer to do the pairing .,The detailed rules of how to do the pairing are usually quite complicated and often the tournament organizer has access to a computer to do the pairing for him .
"Neyaashiinigmiing 27 is unceded territory within Bruce County , Ontario .","Neyaashiinigmiing 27 is a reserve within Bruce County , Ontario .","Neyaashiinigmiing 27 is unceded territory within Bruce County , Ontario ."
"The Battle of Alberta is a term applied to the intense rivalry between the cities of Edmonton , the provincial capital of Alberta and Calgary , the province 's largest city , by a small margin .","The Battle of Alberta is a term applied to the intense rivalry between the cities of Edmonton , the provincial capital of Alberta and Calgary , the province 's largest city .","The Battle of Alberta is a term applied to the intense rivalry between the cities of Edmonton , the provincial capital of Alberta and Calgary , the province 's largest city ."
"Because the hadith were not written down until many years after the death of Muhammad ( PBUH ) , the isnads , or chains of transmission , always have several links .","Because the hadith were not written down until many years after the death of Muhammad , the isnads , or chains of transmission , always have several links .","Because the hadith were not written down until many years after the death of Muhammad ( PBUH ) , the isnads , or chains of transmission , always have several links ."
"Belvedere is a fee-paying school , costing nearly 5000 per year per student , although quite an extensive scholarship scheme is available with the aim to be socially just .","Belvedere is a fee-paying school , costing nearly 4000 per year per student , although a scholarship scheme is available with the aim to be socially just .","Belvedere is a fee-paying school , costing nearly 5000 per year per student , although a scholarship scheme is available with the aim to be socially just ."
The section of the line between Bedford and Cambridge has unfortunately been completely lost and the trackbed partly developed over .,The section of the line between Bedford and Cambridge has been completely lost and the trackbed partly developed over .,The section of the line between Bedford and Cambridge has been completely lost and the trackbed partly developed over .
This was done to avoid confusing it with the iconic BMW M1 supercar .,This was done to avoid confusing it with the BMW M1 sports car .,This was done to avoid confusing it with the BMW M1 supercar .
Night Dragon is a cute pink dragon who likes the dark .,Night Dragon is a pink dragon who likes the dark .,Night Dragon is a pink dragon who likes the dark .
"The US Drug Enforcement Agencys 2008 Marijuana Sourcebook clearly states that recent research supports the gateway hypothesis that certain drugs ( such as cannabis ) act as gateways to use of harder drugs such as heroin , either because of social contact or because of an increasing search for a better high .","The US Drug Enforcement Agencys 2008 Marijuana Sourcebook argues that recent research supports the gateway hypothesis that certain drugs ( such as cannabis ) act as gateways to use of harder drugs such as heroin , either because of social contact or because of an increasing search for a better high .","The US Drug Enforcement Agencys 2008 Marijuana Sourcebook states that recent research supports the gateway hypothesis that certain drugs ( such as cannabis ) act as gateways to use of harder drugs such as heroin , either because of social contact or because of an increasing search for a better high ."
